[TAILING] Tailing last 500 lines for [all] processes (change the value with --lines option)
/home/glojas/.pm2/pm2.log last 500 lines:
PM2        | 2025-10-17T07:33:35: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:33:35: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:36:24: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:36:24: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:36:25: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:37:17: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:37:17: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:37:17: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:40:19: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:40:19: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:40:20: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:40:50: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:40:50: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:40:51: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:44:05: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:44:05: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:44:05: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:44:09: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:44:09: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:44:09: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:47:44: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:47:44: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:47:44: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:48:07: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:48:07: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:48:07: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:51:23: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:51:23: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:51:23: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:51:56: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:51:56: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:51:57: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:54:39: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:54:39: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:54:39: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:55:41: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:55:41: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:55:41: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T07:58:07: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:58:07: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T07:58:07: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T07:59:30: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T07:59:30: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T07:59:30: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:01:47: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:01:47: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:01:47: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:03:21: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:03:21: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:03:22: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:05:23: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:05:23: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:05:24: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:07:24: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:07:24: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:07:25: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:09:07: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:09:07: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:09:07: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:10:58: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:10:58: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:10:58: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:12:33: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:12:33: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:12:33: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:14:56: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:14:56: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:14:56: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:15:58: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:15:59: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:15:59: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:18:38: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:18:38: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:18:38: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:19:16: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:19:16: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:19:16: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:22:25: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:22:25: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:22:25: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:22:55: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:22:55: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:22:55: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:26:18: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:26:18: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:26:18: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:26:24: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:26:24: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:26:24: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:29:53: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:29:53: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:29:53: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:30:01: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:30:01: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:30:01: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:33:41: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:33:41: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:33:41: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:33:59: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:33:59: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:33:59: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:37:10: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:37:10: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:37:10: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:37:40: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:37:40: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:37:40: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:40:35: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:40:35: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:40:36: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:41:35: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:41:35: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:41:35: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:44:13: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:44:13: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:44:13: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:45:19: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:45:19: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:45:19: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:47:51: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:47:51: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:47:51: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:48:59: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:48:59: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:49:00: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:51:30: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:51:30: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:51:30: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:52:48: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:52:48: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:52:49: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:55:11: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:55:11: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:55:11: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T08:56:37: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:56:37: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T08:56:37: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T08:58:37: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T08:58:37: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T08:58:37: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:00:24: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:00:24: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:00:24: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:02:22: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:02:22: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:02:22: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:04:19: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:04:19: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:04:19: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:06:09: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:06:09: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:06:10: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:08:14: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:08:14: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:08:14: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:09:37: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:09:37: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:09:37: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:12:09: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:12:09: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:12:09: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:13:15: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:13:15: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:13:15: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:15:52: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:15:52: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:15:53: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:16:52: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:16:52: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:16:53: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:19:36: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:19:36: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:19:36: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:20:12: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:20:12: PM2 log: App [legacy-api:3] starting in -fork mode-
